Actual,Predicted
40.97,40.96999999999991
31.97,31.969999999999896
175.0,175.0
115.0,115.0
150.0,150.0
65.97,65.97000000000001
85.0,85.0
55.0,55.0
50.0,50.0
80.0,80.0
45.0,45.0
30.0,30.0
180.0,180.0
40.0,40.0
210.0,210.0
58.97,58.9700000000001
80.0,80.0
171.99,171.9899999999999
64.0,64.0
106.97,106.9700000000004
185.0,185.0
116.97,116.96999999999986
44.97,44.96999999999992
125.0,125.0
100.0,100.0
100.0,100.0
40.0,40.0
110.0,110.0
135.0,135.0
37.97,37.96999999999989
182.99,182.99000000000007
150.0,150.0
90.0,90.0
95.0,95.0
55.0,55.0
75.0,75.0
50.0,50.0
94.97,94.96999999999998
100.0,100.0
120.0,120.0
120.0,120.0
80.0,80.0
85.0,85.0
40.0,40.0
80.0,80.0
210.0,210.0
37.0,37.0
65.0,65.0
130.0,130.0
31.97,31.969999999999896
80.0,80.0
102.97,102.96999999999993
80.0,80.0
125.0,125.0
62.97,63.00000000000003
48.0,48.0
120.0,120.0
65.0,65.0
64.0,64.0
100.0,100.0
120.0,120.0
150.0,150.0
30.97,30.96999999999995
35.97,35.96999999999991
60.0,60.0
100.0,100.0
370.0,370.0
65.0,65.0
65.0,65.0
94.97,94.96999999999998
120.99,120.99000000000038
85.97,85.97000000000006
45.0,45.0
135.0,135.0
85.0,85.0
135.0,135.0
100.0,100.0
120.0,120.0
85.0,85.0
145.0,145.0
150.0,150.0
120.0,120.0
155.0,155.0
95.0,95.0
395.0,395.0
85.0,85.0
152.97,152.96999999999974
90.0,90.0
200.0,200.0
140.0,140.0
45.0,45.0
180.0,180.0
48.0,48.0
165.0,165.0
80.0,80.0
105.0,105.0
120.0,120.0
64.97,64.97000000000004
170.0,170.0
40.0,40.0
125.0,125.0
170.0,170.0
285.0,285.0
190.0,190.0
103.97,103.96999999999993
69.97,69.97000000000003
58.97,58.9700000000001
182.99,182.99000000000007
33.0,33.55
147.99,147.9899999999999
145.0,145.0
100.97,100.96999999999994
90.0,90.0
60.0,60.0
55.97,55.97
155.0,155.0
190.0,190.0
80.0,80.0
85.0,85.0
70.0,70.0
39.97,39.969999999999914
90.0,90.0
115.0,115.0
230.0,230.0
106.97,106.9700000000004
235.0,235.0
175.0,175.0
30.0,30.0
37.97,37.96999999999992
130.0,130.0
106.97,106.9700000000004
68.0,68.0
68.0,68.0
80.0,80.0
175.0,175.0
235.0,235.0
65.0,65.0
105.0,105.0
130.0,130.0
100.0,100.0
155.0,155.0
150.0,150.0
120.0,120.0
28.97,28.969999999999956
120.0,120.0
37.97,37.96999999999989
125.0,125.0
100.0,100.0
160.0,160.0
120.0,120.0
230.0,230.0
45.0,45.0
50.0,50.0
235.0,235.0
44.97,44.96999999999991
110.0,110.0
140.0,140.0
47.0,47.0
160.0,160.0
145.0,145.0
80.0,80.0
240.0,240.0
60.97,60.97000000000002
225.0,225.0
85.0,85.0
90.0,90.0
245.0,245.0
200.0,200.0
76.97,76.97000000000007
40.0,40.0
35.97,35.96999999999991
145.0,145.0
85.97,85.97000000000007
145.0,145.0
37.0,37.0
105.0,105.0
40.0,40.0
68.0,68.0
105.0,105.0
115.0,115.0
85.0,85.0
56.97,56.970000000000006
160.0,160.0
80.0,80.0
145.0,145.0
84.97,84.97000000000006
55.0,55.0
100.0,100.0
75.0,75.0
135.0,135.0
40.97,40.96999999999991
80.0,80.0
26.97,26.999999999999968
100.0,100.0
27.0,27.0
55.0,55.0
90.0,90.0
81.97,82.01000000000008
80.0,80.0
40.0,40.0
175.0,175.0
130.0,130.0
100.0,100.0
55.0,55.0
28.0,28.0
24.97,24.969999999999985
99.0,98.97
80.0,80.0
68.0,68.0
120.0,120.0
70.0,70.0
170.0,170.0
140.0,140.0
135.0,135.0
48.97,48.96999999999994
160.0,160.0
44.97,44.96999999999991
165.0,165.0
125.0,125.0
140.0,140.0
45.0,45.0
75.0,75.0
70.0,70.0
62.97,62.97
140.0,140.0
54.97,54.97
106.97,106.9700000000004
58.97,58.9700000000001
160.0,160.0
130.0,130.0
75.0,75.0
115.0,115.0
85.0,85.0
35.0,35.0
175.0,175.0
85.0,85.0
90.0,90.0
49.97,49.96999999999997
85.0,85.0
120.0,120.0
115.0,115.0
210.0,210.0
90.0,90.0
42.0,42.0
150.0,150.0
40.0,40.0
35.97,35.96999999999991
225.0,225.0
98.97,98.96999999999994
145.0,145.0
60.0,60.0
65.0,65.0
26.0,26.0
395.0,395.0
100.0,100.0
105.0,105.0
28.97,28.969999999999946
165.0,165.0
120.0,120.0
125.0,125.0
120.0,120.0
100.0,100.0
46.0,46.0
190.0,190.0
64.0,64.0
22.0,22.0
58.97,58.9700000000001
29.97,29.969999999999956
325.0,325.0
65.97,65.97000000000004
150.0,150.0
80.0,80.0
80.0,80.0
55.0,55.0
130.0,130.0
33.97,33.95999999999994
58.97,58.9700000000001
90.0,90.0
60.0,60.0
50.0,50.0
36.0,36.0
90.0,90.0
60.0,60.0
55.0,55.0
49.97,49.91999999999997
40.0,40.0
42.0,42.0
150.0,150.0
115.0,115.0
130.0,130.0
85.0,85.0
105.0,105.0
115.0,115.0
80.0,80.0
135.0,135.0
105.0,105.0
135.0,135.0
175.0,175.0
235.0,235.0
95.0,95.0
135.0,135.0
156.97,156.96999999999971
50.0,50.0
200.0,200.0
280.0,280.0
45.0,45.0
80.0,80.0
62.97,62.97
140.0,140.0
128.97,128.96999999999983
120.0,120.0
45.97,46.05999999999995
78.97,78.97000000000007
340.0,340.0
78.97,78.97000000000007
120.0,120.0
40.0,40.0
60.0,60.0
60.0,60.0
29.97,29.969999999999956
340.0,340.0
106.97,106.9700000000004
51.97,51.969999999999985
110.97,110.96999999999989
28.97,28.969999999999956
45.0,45.0
147.99,147.9899999999999
120.0,120.0
395.0,395.0
95.0,95.0
135.0,135.0
170.0,170.0
110.0,110.0
135.0,135.0
210.0,210.0
51.97,51.969999999999985
80.0,80.0
180.0,180.0
37.0,37.0
175.0,175.0
140.0,140.0
100.0,100.0
115.0,115.0
37.0,37.0
42.0,42.0
75.0,75.0
130.0,130.0
60.0,60.0
105.0,105.0
28.97,28.969999999999946
135.0,135.0
155.0,155.0
110.0,110.0
110.0,110.0
235.0,235.0
115.0,115.0
150.0,150.0
135.0,135.0
115.0,115.0
69.97,69.97000000000003
64.0,64.0
80.0,80.0
51.97,51.969999999999985
80.0,80.0
85.0,85.0
45.0,45.0
180.0,180.0
90.0,90.0
90.0,90.0
170.0,170.0
24.97,24.969999999999967
25.97,25.969999999999963
175.0,175.0
46.0,46.0
85.97,85.97000000000007
75.0,75.0
85.0,85.0
235.0,235.0
140.0,140.0
45.0,45.0
45.0,45.0
25.0,25.0
32.0,32.0
64.0,64.0
85.97,85.97000000000007
49.97,49.96999999999997
24.97,24.969999999999974
150.0,150.0
200.0,200.0
180.0,180.0
74.0,74.0
75.0,75.0
80.0,80.0
110.0,110.0
35.0,35.0
160.0,160.0
150.0,150.0
100.0,100.0
31.97,31.9699999999999
180.0,180.0
96.97,96.96999999999997
120.0,120.0
120.99,120.99000000000038
75.0,75.0
171.99,171.9899999999999
165.0,165.0
280.0,280.0
75.0,75.0
106.97,106.9700000000004
34.0,34.0
47.97,48.069999999999965
95.0,95.0
156.97,156.96999999999971
115.0,115.0
35.0,35.0
85.0,85.0
130.0,130.0
100.0,100.0
170.0,170.0
80.0,80.0
175.0,175.0
125.0,125.0
55.97,55.97
75.0,75.0
110.0,110.0
95.0,95.0
210.0,210.0
52.0,52.0
42.0,42.0
105.0,105.0
100.0,100.0
185.0,185.0
80.0,80.0
110.0,110.0
80.0,80.0
40.0,40.0
65.0,65.0
52.97,52.96999999999999
37.97,37.969999999999885
37.0,37.0
80.0,80.0
100.0,100.0
70.0,70.0
85.0,85.0
60.97,60.97000000000002
47.0,47.0
135.0,135.0
80.0,80.0
28.97,28.969999999999956
35.0,35.0
195.0,195.0
31.97,31.969999999999896
75.0,75.0
60.97,60.97000000000002
115.0,115.0
90.0,90.0
80.0,80.0
130.0,130.0
24.97,25.019999999999982
36.97,36.96999999999992
130.0,130.0
147.99,147.9899999999999
155.0,155.0
80.0,80.0
130.0,130.0
225.0,225.0
125.0,125.0
95.0,95.0
160.0,160.0
150.0,150.0
115.0,115.0
31.97,31.969999999999896
395.0,395.0
105.0,105.0
80.0,80.0
35.97,35.96999999999991
90.97,90.97000000000001
42.0,42.0
100.0,100.0
90.0,90.0
210.0,210.0
42.0,42.0
95.0,95.0
340.0,340.0
70.0,70.0
31.97,31.9699999999999
330.0,330.0
105.0,105.0
115.0,115.0
100.0,100.0
175.0,175.0
200.0,200.0
42.0,42.0
150.0,150.0
125.0,125.0
105.0,105.0
180.0,180.0
105.0,105.0
75.0,75.0
200.0,200.0
145.0,145.0
35.0,35.0
135.0,135.0
90.0,90.0
210.0,210.0
140.0,140.0
47.0,47.0
85.0,85.0
31.97,31.9699999999999
125.0,125.0
220.0,220.0
99.97,99.96999999999994
110.0,110.0
60.0,60.0
190.0,190.0
185.0,185.0
95.0,95.0
60.0,60.0
55.97,55.97
125.0,125.0
51.97,51.969999999999985
142.97,142.96999999999977
115.0,115.0
150.0,150.0
89.97,89.97
44.97,44.96999999999991
120.0,120.0
85.0,85.0
45.0,45.0
350.0,350.0
80.0,80.0
120.99,120.99000000000038
106.97,106.9700000000004
100.0,100.0
55.0,55.0
52.97,52.96999999999999
105.0,105.0
38.0,38.0
135.0,135.0
50.97,51.329999999999984
74.97,74.97000000000006
85.0,85.0
85.0,85.0
210.0,210.0
160.0,160.0
90.0,90.0
105.0,105.0
110.0,110.0
55.97,56.06
130.0,130.0
135.0,135.0
120.0,120.0
65.0,65.0
55.0,55.0
40.0,40.0
140.0,140.0
85.0,85.0
89.97,89.97000000000001
70.0,70.0
37.0,37.0
65.0,65.0
55.0,55.0
55.0,55.0
70.0,70.0
120.99,120.99000000000038
88.0,88.0
225.0,225.0
308.97,308.63120000000043
135.0,135.0
140.0,140.0
225.0,225.0
115.0,115.0
35.0,35.0
235.0,235.0
125.0,125.0
99.97,99.96999999999994
155.0,155.0
42.0,42.0
55.0,55.0
65.0,65.0
65.0,65.0
122.99,122.9899999999998
47.5,47.5
120.99,120.99000000000038
37.97,37.969999999999885
175.0,175.0
42.0,42.0
49.97,49.96999999999997
90.0,90.0
85.0,85.0
45.0,45.0
75.0,75.0
28.0,28.0
95.0,95.0
120.99,120.99000000000038
114.97,114.94999999999987
75.97,75.97000000000007
70.0,70.0
74.0,74.0
55.0,55.0
140.0,140.0
55.0,55.0
170.0,170.0
100.0,100.0
180.0,180.0
115.0,115.0
58.97,58.9700000000001
85.0,85.0
61.97,61.97000000000003
100.0,100.0
45.0,45.0
47.0,47.0
164.99,164.98999999999992
133.99,133.98999999999998
47.0,47.0
45.0,45.0
32.97,32.96999999999994
133.99,133.98999999999998
100.0,100.0
120.0,120.0
45.0,45.0
100.0,100.0
68.0,68.0
195.0,195.0
170.0,170.0
49.97,49.96999999999997
260.0,260.0
23.97,23.949999999999992
78.97,78.97000000000007
239.0,239.37
55.0,55.0
68.0,68.0
80.0,80.0
55.0,55.0
170.0,170.0
95.0,95.0
60.0,60.0
175.0,175.0
31.97,31.969999999999896
52.97,52.96999999999999
210.0,210.0
90.0,90.0
65.0,65.0
106.97,106.9700000000004
45.0,45.0
180.0,180.0
106.97,106.9700000000004
105.0,105.0
